name,lat,lng,type,size,shape,Primary Market,Airing,Participant,PRX Dovetail hosts,Impact,audio,Podcast Portfolio,Total Donors,To PRX,To Radiotopia,To <i>Ear Hustle</i>,To <i>The World</i>,Other,Downloads in FY25
WMEH-FM:,44.8016128,-68.7712257,broadcast,xlarge,,"Bangor, ME",<i>Echoes | Live Wire | Living On Earth | Selected Shorts | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | This American Life</i>,,,,,,,,,,,,
WMEF-FM:,47.2586502,-68.589491,broadcast,xlarge,,"Fort Kent, ME",<i>Echoes | Live Wire | Living On Earth | Selected Shorts | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | This American Life</i>,,,,,,,,,,,,
WMED-FM:,45.1889633,-67.2786038,broadcast,xlarge,,"Calais, ME",<i>Echoes | Live Wire | Living On Earth | Selected Shorts | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | This American Life</i>,,,,,,,,,,,,
WMEA-FM:,43.670822,-70.2843825,broadcast,xlarge,,"Portland, ME",<i>Echoes | Live Wire | Living On Earth | Selected Shorts | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | This American Life</i>,,,,,,,,,,,,
KWSU-AM:,46.7323875,-117.0001651,broadcast,xlarge,,"Pullman, WA, Lewiston, ID, Moscow, ID",<i>Latino USA | Live Wire | Living On Earth | Reveal | Selected Shorts | Snap Judgment | The World | This American Life | To the Best of Our Knowledge</i>,,,,,,,,,,,,
KSKA-FM:,61.2175758,-149.8996785,broadcast,xlarge,,"Anchorage, AK","<i>Afropop Worldwide | Embodied | Latino USA | Left, Right & Center | No Small Endeavor | Reveal | Snap Judgment | The Moth Radio Hour | The World</i>",,,,,,,,,,,,
WUOT-FM2:,35.965266,-83.923304,broadcast,xlarge,,"Knoxville, TN",<i>Afropop Worldwide | Echoes | Innovation Hub | Live Wire | Living On Earth | Selected Shorts | Snap Judgment | The Moth Radio Hour | The World</i>,,,,,,,,,,,,
WFHE-FM:,35.7344538,-81.3444573,broadcast,xlarge,,"Hickory, NC",<i>Latino USA | Living On Earth | PRX Remix | Reveal | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | Think</i>,,,,,,,,,,,,
WFAE-FM:,35.2621735,-81.1870849,broadcast,xlarge,,"Charlotte-Gastonia-Rock Hill, NC",<i>Latino USA | Living On Earth | PRX Remix | Reveal | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | Think</i>,,,,,,,,,,,,
WNYE-FM:,40.726697,-74.005635,broadcast,xlarge,,"New York, NY",<i>Echoes | Innovation Hub | Jazz After Hours | Latino USA | PRX Remix | Reveal | The World | Think | Zorba</i>,,,,,,,,,,,,
KBSY-FM:,42.5357428,-113.7927948,broadcast,xlarge,,"Burley, ID",<i>Afropop Worldwide | Latino USA | Snap Judgment | Sound Opinions | The Ezra Klein Show | The Moth Radio Hour | The Sam Sanders Show | To the Best of Our Knowledge</i>,,,,,,,,,,,,
Boise State Public Radio (KBSX-FM):,43.6150186,-116.2023137,broadcast,xlarge,,"Boise, ID",<i>Afropop Worldwide | Latino USA | Snap Judgment | Sound Opinions | The Ezra Klein Show | The Moth Radio Hour | The Sam Sanders Show | To the Best of Our Knowledge</i>,,,,,,,,,,,,
KBSS-FM:,43.6971294,-114.3517172,broadcast,xlarge,,"Sun Valley, ID",<i>Afropop Worldwide | Latino USA | Snap Judgment | Sound Opinions | The Ezra Klein Show | The Moth Radio Hour | The Sam Sanders Show | To the Best of Our Knowledge</i>,,,,,,,,,,,,
KBSQ-FM:,44.906183,-116.1171311,broadcast,xlarge,,"McCall, ID",<i>Afropop Worldwide | Latino USA | Snap Judgment | Sound Opinions | The Ezra Klein Show | The Moth Radio Hour | The Sam Sanders Show | To the Best of Our Knowledge</i>,,,,,,,,,,,,
KBSJ-FM:,41.9841401,-114.6724061,broadcast,xlarge,,"Jackpot, NV",<i>Afropop Worldwide | Latino USA | Snap Judgment | Sound Opinions | The Ezra Klein Show | The Moth Radio Hour | The Sam Sanders Show | To the Best of Our Knowledge</i>,,,,,,,,,,,,
WHQR-FM:,34.2103894,-77.8868117,broadcast,xlarge,,"Wilmington, NC",<i>Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Selected Shorts | Snap Judgment | The Moth Radio Hour | This American Life</i>,,,,,,,,,,,,
WVWV-FM:,38.4191481,-82.4451746,broadcast,xlarge,,"Huntington, WV",<i>Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life</i>,,,,,,,,,,,,
WVWS-FM:,38.4792749,-80.4134157,broadcast,xlarge,,Webster Springs,<i>Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life</i>,,,,,,,,,,,,
WVPW-FM:,38.9939872,-80.2320276,broadcast,xlarge,,"Buckhannon, WV",<i>Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life</i>,,,,,,,,,,,,
WVPM-FM:,39.6304078,-79.954468,broadcast,xlarge,,"Morgantown, WV",<i>Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life</i>,,,,,,,,,,,,
West Virginia Public Radio (WVPG-FM):,39.2642138,-81.5607464,broadcast,xlarge,,"Parkersburg, WV",<i>Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life</i>,,,,,,,,,,,,
WVPB-FM:,38.3498195,-81.6326234,broadcast,xlarge,,"Charleston, WV",<i>Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life</i>,,,,,,,,,,,,
WVNP-FM:,40.0645386,-80.720417,broadcast,xlarge,,"Wheeling, WV",<i>Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life</i>,,,,,,,,,,,,
WVKM-FM:,37.6220489,-82.1631893,broadcast,xlarge,,"Matewan, WV",<i>Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life</i>,,,,,,,,,,,,
WVEP-FM:,39.4562099,-77.9638869,broadcast,xlarge,,"Martinsburg, WV",<i>Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life</i>,,,,,,,,,,,,
WVDS-FM:,38.9926097,-79.1239239,broadcast,xlarge,,"Petersburg, WV",<i>Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life</i>,,,,,,,,,,,,
WVBY-FM:,37.7765659,-81.1851434,broadcast,xlarge,,"Beckley, WV",<i>Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life</i>,,,,,,,,,,,,
WVBL-FM:,38.352205,-81.629539,broadcast,xlarge,,"Charleston, WV",<i>Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life</i>,,,,,,,,,,,,
WEKU-FM:,38.0389091,-84.5152662,broadcast,xlarge,,"Lexington-Fayette, KY","<i>Left, Right & Center | Living On Earth | Christopher Kimball's Milk Street Radio | PRX Remix | Reveal | Snap Judgment | Think | This American Life</i>",,,,,,,,,,,,
WEKP-FM:,36.76203,-83.6949176,broadcast,xlarge,,"Pineville, KY","<i>Left, Right & Center | Living On Earth | Christopher Kimball's Milk Street Radio | PRX Remix | Reveal | Snap Judgment | Think | This American Life</i>",,,,,,,,,,,,
WEKH-FM:,37.24954,-83.1932284,broadcast,xlarge,,"Hazard, KY","<i>Left, Right & Center | Living On Earth | Christopher Kimball's Milk Street Radio | PRX Remix | Reveal | Snap Judgment | Think | This American Life</i>",,,,,,,,,,,,
WEKF-FM:,36.9486986,-84.0968761,broadcast,xlarge,,"Corbin, KY","<i>Left, Right & Center | Living On Earth | Christopher Kimball's Milk Street Radio | PRX Remix | Reveal | Snap Judgment | Think | This American Life</i>",,,,,,,,,,,,
KUHB-FM:,57.1208002,-170.2829517,broadcast,xlarge,,"St. Paul Island, AK","<i>Left, Right & Center | Living On Earth | Reveal | Selected Shorts | Snap Judgment | The Moth Radio Hour | The World | To the Best of Our Knowledge</i>",,,,,,,,,,,,
KTOO-FM:,58.3004933,-134.4201306,broadcast,xlarge,,"Juneau, AK","<i>Left, Right & Center | Living On Earth | Reveal | Selected Shorts | Snap Judgment | The Moth Radio Hour | The World | To the Best of Our Knowledge</i>",,,,,,,,,,,,
WEVS-FM:,42.7581256,-71.4651747,broadcast,xlarge,,"Nashua, NH",<i>Latino USA | Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Selected Shorts | The Sam Sanders Show | The World</i>,,,,,,,,,,,,
